year,route,origin_iata,destination_iata,distance_km,region,main_airlines,annual_passengers_m,avg_fare_usd,weekly_frequency_est,annual_revenue_usd_m
2024,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",7.5,96.0,23,718.3
2025,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",8.5,109.0,25,924.6
2026,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",8.12,102.0,23,831.3
2015,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",7.74,74.0,21,576.2
2018,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",8.94,90.0,28,803.2
2019,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",9.09,95.0,27,862.1
2020,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",2.77,29.0,9,81.0
2021,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",4.73,46.0,13,217.0
2022,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",6.63,67.0,19,441.4
2023,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",8.48,91.0,26,770.6
2024,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",9.45,100.0,27,940.6
2025,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",10.14,98.0,31,997.5
2026,Beijing-Shanghai,PEK,SHA,1080,Asia,"Air China, China Eastern",10.17,111.0,30,1128.3
2015,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",8.51,71.0,26,605.9
2018,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",10.11,90.0,31,906.2
2019,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",10.39,81.0,31,841.6
2020,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",3.05,27.0,9,81.1
2021,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",5.32,43.0,17,228.6
2022,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",7.95,61.0,25,488.5
2023,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",10.39,77.0,31,799.1
2024,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",11.14,89.0,32,986.1
2025,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",10.88,86.0,31,936.6
2026,Hong Kong-Taipei,HKG,TPE,813,Asia,"Cathay Pacific, China Airlines",11.49,96.0,34,1102.8
2015,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",5.23,51.0,16,267.8
2018,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",6.29,56.0,19,354.1
2019,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",7.06,62.0,20,436.5
2020,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",1.93,19.0,5,36.0
2021,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",3.23,28.0,8,91.6
2022,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",4.82,46.0,13,221.6
2023,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",6.1,59.0,19,359.9
2024,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",6.76,67.0,19,450.1
2025,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",7.28,70.0,22,506.7
2026,Singapore-Kuala Lumpur,SIN,KUL,297,Asia,"Singapore, AirAsia, Malaysia",7.45,72.0,22,535.1
2015,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",3.3,220.0,9,726.8
2018,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",3.56,262.0,9,934.4
2019,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",3.71,268.0,8,993.9
2020,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",1.11,80.0,3,88.6
2021,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",1.97,125.0,5,246.6
2022,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",2.52,196.0,7,493.5
2023,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",3.47,273.0,11,947.5
2024,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",3.92,277.0,12,1084.4
2025,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",4.09,282.0,10,1154.1
2026,Dubai-London,DXB,LHR,5482,Middle East,"Emirates, British Airways",4.1,316.0,14,1292.8
2015,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",3.47,101.0,10,348.9
2018,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",3.72,125.0,11,464.7
2019,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",4.28,125.0,13,536.9
2020,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",1.27,36.0,5,46.2
2021,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",2.07,67.0,3,138.1
2022,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",3.32,104.0,9,345.6
2023,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",4.09,125.0,11,510.2
2024,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",4.51,127.0,12,573.9
2025,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",4.84,148.0,13,717.4
2026,Dubai-Mumbai,DXB,BOM,1928,Middle East,"Emirates, Air India",4.57,137.0,14,626.4
2015,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",3.39,232.0,10,784.6
2018,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",3.89,243.0,11,944.6
2019,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",3.78,277.0,10,1046.4
2020,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",1.19,78.0,2,93.0
2021,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",1.92,142.0,5,271.4
2022,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",2.83,199.0,8,563.3
2023,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",4.28,252.0,12,1079.1
2024,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",4.37,245.0,13,1069.7
2025,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",4.68,285.0,12,1332.2
2026,Doha-London,DOH,LHR,5266,Middle East,"Qatar Airways, British Airways",4.33,319.0,13,1379.2
2015,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",1.67,123.0,5,206.2
2018,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",2.03,152.0,6,307.6
2019,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",1.92,139.0,6,265.5
2020,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",0.57,44.0,2,25.5
2021,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",0.97,71.0,2,68.1
2022,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",1.55,120.0,5,185.5
2023,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",1.93,136.0,4,262.5
2024,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",2.08,162.0,6,335.8
2025,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",2.04,157.0,7,321.9
2026,Istanbul-London,IST,LHR,2502,Europe,"Turkish, British Airways",2.27,154.0,9,350.5
2015,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.2,238.0,3,284.9
2018,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.28,294.0,4,377.4
2019,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.44,282.0,3,405.5
2020,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",0.44,78.0,1,34.1
2021,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",0.65,121.0,2,78.5
2022,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.01,182.0,3,183.2
2023,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.44,282.0,4,404.7
2024,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.46,302.0,5,440.9
2025,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.51,301.0,4,453.3
2026,London-New York,LHR,JFK,5571,Atlantic,"British Airways, Delta, American",1.59,303.0,4,482.3
2015,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",7.65,56.0,24,426.8
2018,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",8.02,67.0,24,535.7
2019,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",9.78,59.0,28,580.3
2020,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",2.62,20.0,9,51.3
2021,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",4.18,34.0,13,140.5
2022,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",6.62,45.0,21,298.7
2023,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",8.56,63.0,25,537.4
2024,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",9.09,67.0,27,605.5
2025,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",9.45,67.0,27,629.7
2026,London-Paris,LHR,CDG,344,Europe,"Air France, British Airways",9.32,72.0,27,674.6
2015,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.22,244.0,8,541.4
2018,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.4,276.0,7,663.4
2019,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.38,284.0,8,675.8
2020,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",0.72,96.0,3,68.5
2021,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",1.26,152.0,4,191.2
2022,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",1.88,235.0,4,443.5
2023,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.38,270.0,7,643.6
2024,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.81,310.0,7,871.0
2025,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.7,336.0,9,904.8
2026,Frankfurt-New York,FRA,JFK,6201,Atlantic,"Lufthansa, United",2.91,326.0,9,949.5
2015,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.25,363.0,5,454.6
2018,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.28,451.0,3,578.7
2019,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.47,501.0,3,736.8
2020,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",0.44,135.0,1,58.8
2021,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",0.73,206.0,1,151.2
2022,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.18,341.0,3,402.4
2023,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.41,413.0,5,580.9
2024,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.56,462.0,5,721.0
2025,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.6,480.0,4,767.5
2026,Madrid-Buenos Aires,MAD,EZE,10056,Atlantic,"Iberia, Aerolineas Argentinas",1.68,514.0,7,862.1
2015,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",0.89,225.0,2,201.6
2018,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.1,251.0,3,276.1
2019,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.15,270.0,2,311.5
2020,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",0.33,94.0,1,31.3
2021,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",0.58,119.0,1,69.0
2022,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",0.84,190.0,3,158.8
2023,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.12,256.0,1,286.3
2024,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.31,254.0,5,332.4
2025,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.33,296.0,3,392.6
2026,Paris-Dubai,CDG,DXB,5252,Europe-ME,"Emirates, Air France",1.3,283.0,3,369.1
2015,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",2.93,159.0,8,465.9
2018,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",3.48,161.0,10,559.8
2019,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",3.6,153.0,11,551.2
2020,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",1.14,52.0,2,59.4
2021,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",1.87,80.0,4,150.3
2022,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",2.72,138.0,7,375.6
2023,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",3.49,187.0,10,652.0
2024,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",3.98,180.0,11,714.9
2025,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",3.77,204.0,11,768.6
2026,Atlanta-Los Angeles,ATL,LAX,3127,North America,"Delta, American",4.15,194.0,13,808.0
2015,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.06,166.0,7,342.5
2018,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.45,174.0,5,425.6
2019,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.47,203.0,6,502.5
2020,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",0.81,64.0,2,51.5
2021,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",1.21,109.0,3,132.0
2022,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",1.84,163.0,3,299.8
2023,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.52,201.0,8,505.4
2024,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.5,208.0,6,519.2
2025,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.76,231.0,7,637.7
2026,New York-Los Angeles,JFK,LAX,3974,North America,"Delta, JetBlue, American, United",2.67,217.0,7,580.2
2015,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",5.44,91.0,16,495.1
2018,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",6.57,90.0,19,590.4
2019,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",6.56,88.0,21,578.5
2020,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",1.96,31.0,5,60.1
2021,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",3.27,46.0,11,151.4
2022,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",4.99,75.0,16,373.8
2023,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",6.54,97.0,18,635.3
2024,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",6.72,96.0,20,648.1
2025,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",7.28,99.0,21,719.5
2026,Chicago-New York,ORD,LGA,1190,North America,"United, American, Delta",6.94,109.0,19,756.1
2015,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.59,176.0,8,454.6
2018,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.8,184.0,7,515.1
2019,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.89,188.0,6,542.6
2020,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",0.9,52.0,2,46.7
2021,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",1.44,95.0,4,135.8
2022,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.38,138.0,6,328.9
2023,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.82,162.0,8,455.6
2024,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.22,224.0,9,723.5
2025,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.26,196.0,10,639.2
2026,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.41,206.0,11,701.7
2015,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.06,89.0,21,627.4
2018,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.49,111.0,21,833.2
2019,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.08,97.0,26,782.0
2020,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",2.48,29.0,7,72.4
2021,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",4.03,49.0,12,197.9
2022,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",6.08,77.0,18,467.8
2023,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.72,98.0,23,752.5
2024,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.17,118.0,23,961.5
2025,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.93,109.0,28,976.0
2026,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.62,108.0,24,935.7
2015,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",5.29,53.0,13,281.4
2018,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.31,59.0,17,374.5
2019,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.87,60.0,21,408.9
2020,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",1.92,21.0,6,40.8
2021,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",3.16,30.0,10,96.3
2022,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",4.88,48.0,15,233.4
2023,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.06,62.0,19,373.0
2024,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",7.13,67.0,21,477.7
2025,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.75,66.0,20,448.7
2026,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",7.33,72.0,23,530.7
2015,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.0,108.0,14,537.9
2018,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.97,126.0,18,750.0
2019,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.38,114.0,19,729.8
2020,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",1.81,36.0,5,64.2
2021,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",2.84,65.0,9,185.3
2022,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",4.5,84.0,12,378.1
2023,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.77,119.0,14,686.9
2024,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.55,133.0,18,868.2
2025,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.79,132.0,19,898.4
2026,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.74,156.0,21,1052.3
2015,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.37,265.0,5,628.1
2018,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.67,270.0,8,721.2
2019,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.71,306.0,8,831.1
2020,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",0.73,90.0,2,65.5
2021,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",1.39,148.0,5,205.9
2022,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.08,229.0,7,475.9
2023,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.64,268.0,5,706.2
2024,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.82,327.0,8,921.5
2025,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",3.11,330.0,10,1026.0
2026,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",3.03,342.0,9,1037.7
2015,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.06,440.0,4,465.9
2018,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.35,513.0,3,691.2
2019,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.37,561.0,3,770.6
2020,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",0.41,171.0,3,69.5
2021,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",0.69,267.0,2,183.2
2022,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.02,396.0,3,405.3
2023,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.21,547.0,2,663.6
2024,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.38,562.0,6,773.5
2025,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.44,563.0,3,811.2
